Year,Month,Day,Sub_site,Lat,Long,Observer,Transect_type,Transect_number,Transect_section,Depth_m,Genusspecies,Frequency,Size_cm,Data_type,Comment
2020,11,27,isla_san_jeronimo_rayado_2,,,daniel_diaz,upc,2,NA,16,Leaf_blade_unbranched,1,,ecological_monitoring,
2020,11,27,isla_san_jeronimo_rayado_2,,,daniel_diaz,upc,2,NA,16,Branch_flat_branching,2,,ecological_monitoring,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
